Address,Token
0x70b2EE03eD78855C612f9cA0BeD658aa740d24C1,385.0
0xa16A056E38CCE743d02dcdE487d2fFDfbc9a7637,385.0
0x31C750fBF0A242c8B186b8017f26a18eB97d93dC,385.0
0xe1fd653CD5eA03d20D7e78F5Fa0Adb1918F3EcEa,385.0
0x5f2D7B79D8Cdd86Df4927d379BD29d602B59467C,385.0
0x2aCEb950108c82dF3fe8DDF543e61822233BDDe0,385.0
0x79B8BDaEd766B1222494822F235C004355b230D1,385.0
0xFeb623adaF1821dE8a0689d544c672269D736743,385.0
0x6730ec36CcdF14D675775F1A16bbb34e79BCF19c,385.0
0xc5de8C6dbc7BEE4D054C62981D28963c6A783dD9,385.0
0x1F117e07cA8C0fbfADC07289a721f48FFeC9da68,385.0
0xF07836A5DABBD30b457bC87A632795Fa563da007,385.0
0xDE9EDb7659FfC872A5661331dbd9b6657227E577,385.0
0x47F9101283cf65337ef6965f75dFf8C1bad7176d,385.0
0x7C817F5E30aa68DB39B6130E7cA247C5C4746084,385.0
0x260f6E73c7075161b21b786E13E64F880C967a33,385.0
0x8d23781aAF15fF220555E87BB57B4504D06814C4,385.0
0x252E3267b0396Be97656e5F667286988B4d0f3dd,385.0
0xcDEF60555F963729D7AA5363d04E46379a5722bB,385.0
0xd74de0C9eA59307ca8f1BEFFFB6f941947E93Be3,385.0
0xdc258Cd32c189Ce25ac494550b489895589C0819,385.0
0xe12f8e5309682cDEa4A3F7160fbB25D0d111d9b7,385.0
0x698A00C4546432b2ad17629Ee68b95783800321D,385.0
0x49526BEabb9b58D07787Ac429DD48a3c12e3ad9C,385.0
0x62beE234b4066af4709DeE5FD3FFCed6782f5C0D,385.0
0x3AA6605d87f611E43aD0a64740d6BeF9b80FCD2C,385.0
0x349825E811352962BD668277910E1895c41190F6,385.0
0xA0585e4979C1310c52FDA8C6b19817c3c61604D0,385.0
0x1a450552C74973f69EdF036BB26617cFE41c73fB,385.0
0x39043F5B5eE9DF333d0BF544b67C27D8284F69A1,385.0
0x2f45724d7E384b38D5C97206e78470544304887F,385.0
0x4B4047f5E21754bCb3cba528C4A044F1875C79Cf,385.0
0x7f964c696016c7542722298758fbbb24E983B8Eb,385.0
0x93Ee59B236fD1Af89619B3B420E4F96718EFE1fa,385.0
0xDac4DAbed370D1d0E3EDf6e02FdD140080e568fD,385.0
0x678fDb6D4ead7f228Ab4F58F1628dd62D487d67F,385.0
0x140DAAD3f2DdF2CCe32436CA6265c4BBD1ccef92,385.0
0x2e7B05c3De55Ab1533C7d951727965355a7D0685,385.0
0x17736ded6d80472e94db70095D87118BfDD682Fd,385.0
0x53F773f4456DC13Bd06e2b48B0E8665eE7a327DC,385.0
0x2139C0AeFa2fA14c277cA7980594EF72764679aA,385.0
0x8D106c747CD21272D4C9Ff0Af8d53A9C9AcA25d2,385.0
0xA9821681fEF27Ed817DF77E476DDDAf0aDac4443,385.0
