Address,Token
0x6Fbe7A00220A5fAb8584DB7A8Ce4566C605fd7a4,85000
0x2f45724d7E384b38D5C97206e78470544304887F,85000
0x5fbbfa396a522B38466D0Ee6f65d08375dfb0945,85000
0xA24Bd57C4b2AfD9D86FfE8BE623F341dC10a43AB,85000
0x077bb80995188850cC1f464B0F1f26A8925AcAEe,85000
0xD68C5Ba9e3a5a12BA6dA76BA47Fd4684f44e6952,85000
0xA08b3a0FD6D74C17076F40E5bfcCE1eA811a4c6F,85000
0xF043AF653c1c770433C7c6f8123ece51d79496F7,85000
0x8DF5F3E4a0688595b02768c37F32424365F36f26,85000
0xb165aC6BF3A97822EDF69Cf02120A473E8FF2295,85000
0x1E27C17432ABfF8E314b421BE50c63a42d3e95E0,85000
0x2e7638ABaD4329C154BDF3d33d28dDC56f47136B,85000
0x87616fA850c87a78f307878f32D808dad8f4d401,85000
0x92f82a6764a0Fa129C64737dc58FF49fA39Ddb20,85000
0xea63D23758b58868d040de7b393Bfc01F4A78cec,85000
0x00fC79F38bAf0dE21E1fee5AC4648Bc885c1d774,85000
0x70FF197c32E922700d3ff2483D250c645979855d,85000
0xF408db04DFED406aEE917D28753c68Fc17B68e5a,85000
0xe1412eB3a56502C5322EDdF4FD6B63097fe9F08E,85000
0x9e77489ca312A218cb316e39E02d7a6a625cB80e,85000
0xa489c4087ac990758E19019C3c6AaC93e9946573,85000
0xa29A37A950673C500D82AE5686a9f3f1b822585a,85000
0x342cD0e754BD5960B7C2bc5325375b567217218a,85000
0x008cC239ecC87439ef452e48D2dB9c122b17787f,85000
0xc2b5f67dA9F6A57469441F76c2f47982c6684c00,85000
0x77dc51Ba83214Bc73Ab8B4DCBFCA60F479288bbB,52500
0x9d424b25E8aCb28FA59751D9cb9ce648b82fa0Ea,52500
0x22f6EDb55790B0Fe841C5BA9aa30792ebcB55863,52500
0x4059E94F431b2C48373c3CF962b257b7A4b1dc63,52500
0x70B008530fd6a02cC173CC4334Af4f57EC857026,52500
